,user_name,date,text
19,Ibu Kaya Syukur,2022-08-08 11:56:04+00:00,senin   baca   review   money   heist   versi   korea   penasaran   njelimetnya   rencana   ampo   besarbesaran   ulas   arellsha   tarik   detail   kecewa   endingnya   ah   baca  
20,iya gue,2022-08-17 18:22:26+00:00,norak   banget   nonton   money   heist   spanyol   seru   banget   sih   tertawa  
21,mymoneydon't,2022-08-17 15:51:10+00:00,watchmenid   scene   cctv   polisi   series   money   heist  
22,Jujuu,2022-08-17 13:31:34+00:00,muts   habis   nnton   money   heist   korea   endingnya   nyeselesain   yhh  
23,.,2022-08-17 13:29:14+00:00,habisnontonfilm   ngomong-ngomong   kaya   genre   kaya   money   heist   yak  
24,saraga.,2022-08-17 13:13:03+00:00,convomf   semestere   banyak   bahasa   spanyol   e   e   nya   akhira   paham   gara   gara   nonton   money   heist  
25,Rico Muhammad Aziz,2022-08-17 12:42:19+00:00,penasaran   film   kayak   money   heist   versi   indonesia  
26,Nan.tangin,2022-08-17 00:50:44+00:00,inget   ending   film   money   heist   keruk   bagiin   rakyat  
27,bil,2022-08-15 09:13:02+00:00,mimpi   tokyo   money   heist  
28,sorrymom.,2022-08-12 20:19:36+00:00,cuk   tidur   larut   jam   an   tidur   paksa   bangun   jam   kahan   jembut   alias   budak   cina   alas   tidur   larut   si   mega   netflix   an   marathon   money   heist   season   kontolll  
29,nayca!,2022-08-12 01:39:52+00:00,marathon   money   heist  
30,ayya,2022-08-11 14:05:41+00:00,habis   nyelesein   money   heist   korea   nyadar   season  
31,Han hyeji,2022-08-09 18:04:22+00:00,haru   yoshi   nonton   money   heist   spanyol   suka   peran   denver  
32,dewi,2022-08-09 14:01:20+00:00,season   nya   money   heist   nonton   nafas   anjirrr   engap   banget   gila   film  
