ngantuk,film,nonton,habis,suka,bareng,bisa,nih,thriller,sepi,mu,nontonnya,ketawa,lucu,takut,sih,diapain,memang,iya
0.610956227,0.256027185,0.433491706,0.610956227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.35827725,0.606616116,0,0.709686058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.186347673,0.315514037,0,0.369122921,0.4446804,0.4446804,0.4446804,0.369122921,0,0,0,0,0,0,0,0,0,0
0,0.284109236,0,0,0,0,0,0,0,0.677968267,0.677968267,0,0,0,0,0,0,0,0
0,0.235159392,0,0,0,0,0,0,0,0,0,0.561159532,0.561159532,0.561159532,0,0,0,0,0
0,0.213167354,0,0,0,0,0,0,0,0,0,0,0,0,0.422248131,0.508680055,0.508680055,0.508680055,0
0,0.262235429,0,0,0,0,0,0,0.51944361,0,0,0,0,0,0.51944361,0,0,0,0.625770926
