user_id,user_name,date,text
1.29E+18,,2021-12-20 07:07:59+00:00,rewatch money heist auro ksel bgtttt ajg agh nabok asli 
1.21E+18,travisscai,2021-12-20 06:33:11+00:00,money heist baik 
187091189,ForgottenLang,2021-12-20 05:54:48+00:00,tertawa nonton money heist dubbingnya indonesia 
287150405,introvwoman,2021-12-20 00:58:27+00:00,kyknya lanjutin nonton money heist deh 
1.17E+18,iamurhadid,2021-12-19 23:53:25+00:00,nyampe sekolah langsung money heist too late but its okay 
9.88E+17,AsgarDoinyaorng,2021-12-19 22:49:29+00:00,kuy nonton money heist kwkw 
1.26E+18,anatatsaa,2021-12-19 19:43:33+00:00,namatin money heist selang series tidur but ujung tetep mewek bilang ujung kesan yah kayak asa banget euphorianya alhasil haru 
1.01E+18,tinkeulava,2021-12-19 17:56:20+00:00,beli sate padang nonton money heist bareng pacar 
1.24E+18,nonano,2021-12-19 16:52:25+00:00,eh money heist season ngebosenin iya 
706890294,itsleahkim,2021-12-19 16:46:22+00:00,money heist gilak banget 
1.28E+18,combiparrr,2021-12-19 16:38:17+00:00,jebak money heist 
1.31E+18,af,2021-12-19 16:29:51+00:00,film netflix tearik coba series hype money heist squid game breaking bad 
1.39E+18,juricmania,2021-12-19 15:45:26+00:00,kelarin money heist kedistract snowdrop 
2665214210,Rillnih,2021-12-19 15:45:21+00:00,money heist series mantap gelut dunia film 
1.47E+18,elnojen,2021-12-19 15:43:00+00:00,money heist bagus banget kakak 
2665214210,Rillnih,2021-12-19 15:36:10+00:00,habis selesai nonton money heist wahh bagus ending harap formasi lengkap huhu cewek cewek tangguh korban 
1.40E+18,tenyuwww,2021-12-19 15:17:29+00:00,deh ah money heist dd sial 
1.30E+18,haitanih,2021-12-19 14:48:39+00:00,ngomong-ngomong teman kuat ngelarin money heist 
328924386,dedysnts,2021-12-19 14:37:39+00:00,sekian series ngikutin money heist 
9.55E+17,,2021-12-19 14:26:37+00:00,money heist wkwkwkwk 
229070397,ynelstr,2021-12-19 14:00:07+00:00,iya nonton series bawa sedih pas habis kemarin money heist sedih pas lagu coldplay 
478458069,hazelnnnut,2021-12-19 13:29:54+00:00,wkkw nonton money heist tinggal banget 
1.11E+18,hewrystyle,2021-12-19 12:20:30+00:00,lanjutin money heist seru 
66653747,ummulnikmah,2021-12-19 11:28:16+00:00,selesai money heist jalan ninja weekendku wkwkwk 
1.19E+18,ijodimana,2021-12-19 11:09:06+00:00,pei maraton money heist tarik 
1.40E+18,whitemusx,2021-12-19 11:00:21+00:00,eps money heist greget 
977983356,lemindays,2021-12-19 10:36:15+00:00,tentara money heist keren banget indonesia dak adik dak adik melulu 
2915730500,afafiff,2021-12-19 09:19:42+00:00,ending money heist mengcewakan 
1.11E+18,hewrystyle,2021-12-19 09:05:37+00:00,nonton money heist capek teriak teriak 
4065800480,aedialism,2021-12-19 08:59:22+00:00,pilih lagu ending money heist merinding 
9.87E+17,Zoldyckxsatoru,2021-12-19 08:28:24+00:00,gila banget endingnya money heist gila sih one of the best series ever 
2447155416,eggnesst,2021-12-19 07:19:15+00:00,anjing kaco banget money heist kesal 
7.15E+17,JENNIEjaga,2021-12-19 06:43:42+00:00,aelah money heist banget drama 
494711135,atika laeli,2021-12-19 06:29:48+00:00,biarpun orang orang money heist jelek suka endingnya 
1.40E+18,firesunbabe,2021-12-19 06:07:42+00:00,spoiler money heist neng cmn 
9.04E+17,kaniaalbar,2021-12-19 02:05:47+00:00,bingungin skg main money heist pakai helm wkww takut kepala tembak 
45702411,tiowic,2021-12-18 23:19:56+00:00,pengaruh episode money heist season naik streaming lagu you platform 
350281879,auliamedicaa,2021-12-18 22:20:44+00:00,endingnya money heist ngeiii tolongin 
