user_id,user_name,date,text
1.54E+18,LiA,2022-10-02 19:05:22+00:00,habis nonton film ngantuk 
1.51E+18,Elisyana,2022-10-02 18:11:46+00:00,suka nonton film 
1.42E+18,DinnieA,2022-10-02 23:52:22+00:00,suka film thriller nih bisa nonton bareng
605182656,FEBRI TRANSLATOR,2022-10-02 21:56:09+00:00,film mu sepi
1.15E+18,zhrh,2022-10-02 21:47:44+00:00, film lucu ketawa nontonnya
2262839850,mrf,2022-10-03 22:01:52+00:00,film memang diapain sih takut 
16,del,2022-07-30 10:45:10+00:00,iya film thriller takut
